,block,RT,image,position,response,order,environment,condition,location,binary,label,group
0,1,585,soap18,8,-1,1,soap,a,indoor,0,soap,small
1,2,464,soap24,2,1,1,soap,a,indoor,1,soap,small
2,3,683,soap03,23,-1,1,soap,a,indoor,0,soap,small
3,4,648,soap09,17,-1,1,soap,a,indoor,0,soap,small
4,5,655,soap05,21,-1,1,soap,a,indoor,0,soap,small
5,6,723,microwave10,16,-1,1,microwave,a,indoor,0,microwave,big
6,7,900,microwave21,5,1,1,microwave,a,indoor,1,microwave,big
7,8,663,microwave23,3,1,1,microwave,a,indoor,1,microwave,big
8,9,559,microwave02,24,-1,1,microwave,a,indoor,0,microwave,big
9,10,820,microwave08,18,-1,1,microwave,a,indoor,0,microwave,big
10,11,429,lamp14,12,-1,1,lamp,a,indoor,0,lamp,small
11,12,662,lamp04,22,-1,1,lamp,a,indoor,0,lamp,small
12,13,1177,lamp25,1,1,1,lamp,a,indoor,1,lamp,small
13,14,1109,lamp20,6,-1,1,lamp,a,indoor,0,lamp,small
14,15,594,lamp15,11,-1,1,lamp,a,indoor,0,lamp,small
15,16,1092,firealarm22,4,1,1,firealarm,a,indoor,1,firealarm,small
16,17,511,firealarm12,14,-1,1,firealarm,a,indoor,0,firealarm,small
17,18,333,firealarm07,19,1,1,firealarm,a,indoor,1,firealarm,small
18,19,1146,firealarm19,7,1,1,firealarm,a,indoor,1,firealarm,small
19,20,698,firealarm01,25,-1,1,firealarm,a,indoor,0,firealarm,small
20,21,690,candle11,15,-1,1,candle,a,indoor,0,candle,small
21,22,984,candle17,9,-1,1,candle,a,indoor,0,candle,small
22,23,711,candle06,20,-1,1,candle,a,indoor,0,candle,small
23,24,1614,candle16,10,1,1,candle,a,indoor,1,candle,small
24,25,816,candle13,13,-1,1,candle,a,indoor,0,candle,small
25,26,1280,vase25,1,1,1,vase,a,indoor,1,vase,small
26,27,1184,vase17,9,1,1,vase,a,indoor,1,vase,small
27,28,1270,vase21,5,-1,1,vase,a,indoor,0,vase,small
28,29,599,vase22,4,-1,1,vase,a,indoor,0,vase,small
29,30,1862,vase04,22,1,1,vase,a,indoor,1,vase,small
30,31,704,kettle12,14,-1,1,kettle,a,indoor,0,kettle,small
31,32,540,kettle19,7,-1,1,kettle,a,indoor,0,kettle,small
32,33,447,kettle23,3,1,1,kettle,a,indoor,1,kettle,small
33,34,459,kettle03,23,-1,1,kettle,a,indoor,0,kettle,small
34,35,831,kettle01,25,-1,1,kettle,a,indoor,0,kettle,small
35,36,1119,dvdplayer11,15,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
36,37,453,dvdplayer20,6,1,1,dvdplayer,a,indoor,1,dvdplayer,big
37,38,1268,dvdplayer13,13,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
38,39,696,dvdplayer02,24,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
39,40,553,dvdplayer05,21,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
40,41,619,mouse14,12,1,1,mouse,a,indoor,1,mouse,small
41,42,547,mouse24,2,1,1,mouse,a,indoor,1,mouse,small
42,43,769,mouse09,17,-1,1,mouse,a,indoor,0,mouse,small
43,44,1220,mouse10,16,-1,1,mouse,a,indoor,0,mouse,small
44,45,759,mouse06,20,-1,1,mouse,a,indoor,0,mouse,small
45,46,618,pottedplant16,10,1,1,pottedplant,a,indoor,1,pottedplant,small
46,47,1688,pottedplant18,8,-1,1,pottedplant,a,indoor,0,pottedplant,small
47,48,664,pottedplant07,19,-1,1,pottedplant,a,indoor,0,pottedplant,small
48,49,699,pottedplant15,11,1,1,pottedplant,a,indoor,1,pottedplant,small
49,50,563,pottedplant08,18,-1,1,pottedplant,a,indoor,0,pottedplant,small
50,51,767,pitchfork20,6,1,1,pitchfork,a,outdoor,1,pitchfork,small
51,52,1771,pitchfork04,22,1,1,pitchfork,a,outdoor,1,pitchfork,small
52,53,478,pitchfork22,4,1,1,pitchfork,a,outdoor,1,pitchfork,small
53,54,751,pitchfork18,8,-1,1,pitchfork,a,outdoor,0,pitchfork,small
54,55,627,pitchfork09,17,1,1,pitchfork,a,outdoor,1,pitchfork,small
55,56,460,bird15,11,-1,1,bird,a,outdoor,0,bird,small
56,57,532,bird19,7,-1,1,bird,a,outdoor,0,bird,small
57,58,520,bird01,25,-1,1,bird,a,outdoor,0,bird,small
58,59,1275,bird23,3,-1,1,bird,a,outdoor,0,bird,small
59,60,468,bird08,18,-1,1,bird,a,outdoor,0,bird,small
60,61,604,mailbox14,12,-1,1,mailbox,a,outdoor,0,mailbox,small
61,62,841,mailbox06,20,-1,1,mailbox,a,outdoor,0,mailbox,small
62,63,413,mailbox11,15,-1,1,mailbox,a,outdoor,0,mailbox,small
63,64,564,mailbox12,14,-1,1,mailbox,a,outdoor,0,mailbox,small
64,65,1009,mailbox21,5,-1,1,mailbox,a,outdoor,0,mailbox,small
65,66,668,frog24,2,-1,1,frog,a,outdoor,0,frog,small
66,67,1361,frog16,10,-1,1,frog,a,outdoor,0,frog,small
67,68,1676,frog05,21,1,1,frog,a,outdoor,1,frog,small
68,69,2109,frog25,1,1,1,frog,a,outdoor,1,frog,small
69,70,1229,frog03,23,-1,1,frog,a,outdoor,0,frog,small
70,71,852,cactus07,19,-1,1,cactus,a,outdoor,0,cactus,big
71,72,460,cactus13,13,-1,1,cactus,a,outdoor,0,cactus,big
72,73,391,cactus10,16,-1,1,cactus,a,outdoor,0,cactus,big
73,74,1511,cactus17,9,-1,1,cactus,a,outdoor,0,cactus,big
74,75,519,cactus02,24,-1,1,cactus,a,outdoor,0,cactus,big
75,76,602,bottle22,4,1,1,bottle,a,outdoor,1,bottle,big
76,77,449,bottle24,2,-1,1,bottle,a,outdoor,0,bottle,big
77,78,988,bottle03,23,-1,1,bottle,a,outdoor,0,bottle,big
78,79,740,bottle25,1,1,1,bottle,a,outdoor,1,bottle,big
79,80,363,bottle06,20,-1,1,bottle,a,outdoor,0,bottle,big
80,81,642,ashtray17,9,-1,1,ashtray,a,outdoor,0,ashtray,small
81,82,490,ashtray09,17,-1,1,ashtray,a,outdoor,0,ashtray,small
82,83,742,ashtray01,25,-1,1,ashtray,a,outdoor,0,ashtray,small
83,84,315,ashtray12,14,-1,1,ashtray,a,outdoor,0,ashtray,small
84,85,638,ashtray08,18,-1,1,ashtray,a,outdoor,0,ashtray,small
85,86,1521,mug07,19,-1,1,mug,a,outdoor,0,mug,small
86,87,492,mug13,13,-1,1,mug,a,outdoor,0,mug,small
87,88,641,mug18,8,-1,1,mug,a,outdoor,0,mug,small
88,89,475,mug16,10,-1,1,mug,a,outdoor,0,mug,small
89,90,537,mug04,22,-1,1,mug,a,outdoor,0,mug,small
90,91,624,axe10,16,-1,1,axe,a,outdoor,0,axe,small
91,92,662,axe11,15,1,1,axe,a,outdoor,1,axe,small
92,93,753,axe05,21,-1,1,axe,a,outdoor,0,axe,small
93,94,513,axe02,24,-1,1,axe,a,outdoor,0,axe,small
94,95,406,axe15,11,-1,1,axe,a,outdoor,0,axe,small
95,96,905,package23,3,1,1,package,a,outdoor,1,package,small
96,97,1471,package21,5,1,1,package,a,outdoor,1,package,small
97,98,864,package19,7,-1,1,package,a,outdoor,0,package,small
98,99,907,package14,12,-1,1,package,a,outdoor,0,package,small
99,100,665,package20,6,1,1,package,a,outdoor,1,package,small
100,1,260,soap18,8,-1,1,soap,a,indoor,0,soap,small
101,2,413,soap24,2,1,1,soap,a,indoor,1,soap,small
102,3,361,soap03,23,-1,1,soap,a,indoor,0,soap,small
103,4,362,soap09,17,-1,1,soap,a,indoor,0,soap,small
104,5,174,soap05,21,-1,1,soap,a,indoor,0,soap,small
105,6,436,microwave10,16,-1,1,microwave,a,indoor,0,microwave,big
106,7,624,microwave21,5,1,1,microwave,a,indoor,1,microwave,big
107,8,600,microwave23,3,1,1,microwave,a,indoor,1,microwave,big
108,9,393,microwave02,24,-1,1,microwave,a,indoor,0,microwave,big
109,10,409,microwave08,18,1,1,microwave,a,indoor,1,microwave,big
110,11,221,lamp14,12,1,1,lamp,a,indoor,1,lamp,small
111,12,396,lamp04,22,1,1,lamp,a,indoor,1,lamp,small
112,13,1618,lamp25,1,1,1,lamp,a,indoor,1,lamp,small
113,14,597,lamp20,6,1,1,lamp,a,indoor,1,lamp,small
114,15,542,lamp15,11,1,1,lamp,a,indoor,1,lamp,small
115,16,446,firealarm22,4,-1,1,firealarm,a,indoor,0,firealarm,small
116,17,326,firealarm12,14,1,1,firealarm,a,indoor,1,firealarm,small
117,18,311,firealarm07,19,1,1,firealarm,a,indoor,1,firealarm,small
118,19,320,firealarm19,7,-1,1,firealarm,a,indoor,0,firealarm,small
119,20,240,firealarm01,25,-1,1,firealarm,a,indoor,0,firealarm,small
120,21,402,candle11,15,-1,1,candle,a,indoor,0,candle,small
121,22,301,candle17,9,-1,1,candle,a,indoor,0,candle,small
122,23,224,candle06,20,-1,1,candle,a,indoor,0,candle,small
123,24,768,candle16,10,-1,1,candle,a,indoor,0,candle,small
124,25,1174,candle13,13,-1,1,candle,a,indoor,0,candle,small
125,26,235,vase25,1,1,1,vase,a,indoor,1,vase,small
126,27,778,vase17,9,-1,1,vase,a,indoor,0,vase,small
127,28,371,vase21,5,1,1,vase,a,indoor,1,vase,small
128,29,515,vase22,4,1,1,vase,a,indoor,1,vase,small
129,30,605,vase04,22,-1,1,vase,a,indoor,0,vase,small
130,31,341,kettle12,14,-1,1,kettle,a,indoor,0,kettle,small
131,32,379,kettle19,7,1,1,kettle,a,indoor,1,kettle,small
132,33,349,kettle23,3,1,1,kettle,a,indoor,1,kettle,small
133,34,329,kettle03,23,-1,1,kettle,a,indoor,0,kettle,small
134,35,490,kettle01,25,-1,1,kettle,a,indoor,0,kettle,small
135,36,717,dvdplayer11,15,1,1,dvdplayer,a,indoor,1,dvdplayer,big
136,37,603,dvdplayer20,6,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
137,38,549,dvdplayer13,13,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
138,39,787,dvdplayer02,24,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
139,40,447,dvdplayer05,21,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
140,41,322,mouse14,12,-1,1,mouse,a,indoor,0,mouse,small
141,42,666,mouse24,2,1,1,mouse,a,indoor,1,mouse,small
142,43,325,mouse09,17,-1,1,mouse,a,indoor,0,mouse,small
143,44,721,mouse10,16,-1,1,mouse,a,indoor,0,mouse,small
144,45,500,mouse06,20,-1,1,mouse,a,indoor,0,mouse,small
145,46,728,pottedplant16,10,1,1,pottedplant,a,indoor,1,pottedplant,small
146,47,26,pottedplant18,8,1,1,pottedplant,a,indoor,1,pottedplant,small
147,48,481,pottedplant07,19,-1,1,pottedplant,a,indoor,0,pottedplant,small
148,49,312,pottedplant15,11,-1,1,pottedplant,a,indoor,0,pottedplant,small
149,50,809,pottedplant08,18,1,1,pottedplant,a,indoor,1,pottedplant,small
150,51,408,pitchfork20,6,1,1,pitchfork,a,outdoor,1,pitchfork,small
151,52,375,pitchfork04,22,-1,1,pitchfork,a,outdoor,0,pitchfork,small
152,53,607,pitchfork22,4,-1,1,pitchfork,a,outdoor,0,pitchfork,small
153,54,396,pitchfork18,8,1,1,pitchfork,a,outdoor,1,pitchfork,small
154,55,285,pitchfork09,17,1,1,pitchfork,a,outdoor,1,pitchfork,small
155,56,768,bird15,11,-1,1,bird,a,outdoor,0,bird,small
156,57,226,bird19,7,-1,1,bird,a,outdoor,0,bird,small
157,58,934,bird01,25,1,1,bird,a,outdoor,1,bird,small
158,59,550,bird23,3,1,1,bird,a,outdoor,1,bird,small
159,60,266,bird08,18,-1,1,bird,a,outdoor,0,bird,small
160,61,277,mailbox14,12,-1,1,mailbox,a,outdoor,0,mailbox,small
161,62,274,mailbox06,20,-1,1,mailbox,a,outdoor,0,mailbox,small
162,63,431,mailbox11,15,-1,1,mailbox,a,outdoor,0,mailbox,small
163,64,491,mailbox12,14,-1,1,mailbox,a,outdoor,0,mailbox,small
164,65,498,mailbox21,5,1,1,mailbox,a,outdoor,1,mailbox,small
165,66,321,frog24,2,1,1,frog,a,outdoor,1,frog,small
166,67,739,frog16,10,1,1,frog,a,outdoor,1,frog,small
167,68,558,frog05,21,-1,1,frog,a,outdoor,0,frog,small
168,69,305,frog25,1,1,1,frog,a,outdoor,1,frog,small
169,70,1397,frog03,23,-1,1,frog,a,outdoor,0,frog,small
170,71,412,cactus07,19,-1,1,cactus,a,outdoor,0,cactus,big
171,72,629,cactus13,13,1,1,cactus,a,outdoor,1,cactus,big
172,73,1025,cactus10,16,-1,1,cactus,a,outdoor,0,cactus,big
173,74,377,cactus17,9,1,1,cactus,a,outdoor,1,cactus,big
174,75,357,cactus02,24,1,1,cactus,a,outdoor,1,cactus,big
175,76,540,bottle22,4,-1,1,bottle,a,outdoor,0,bottle,big
176,77,383,bottle24,2,1,1,bottle,a,outdoor,1,bottle,big
177,78,462,bottle03,23,-1,1,bottle,a,outdoor,0,bottle,big
178,79,389,bottle25,1,-1,1,bottle,a,outdoor,0,bottle,big
179,80,414,bottle06,20,-1,1,bottle,a,outdoor,0,bottle,big
180,81,363,ashtray17,9,1,1,ashtray,a,outdoor,1,ashtray,small
181,82,407,ashtray09,17,-1,1,ashtray,a,outdoor,0,ashtray,small
182,83,277,ashtray01,25,-1,1,ashtray,a,outdoor,0,ashtray,small
183,84,476,ashtray12,14,-1,1,ashtray,a,outdoor,0,ashtray,small
184,85,539,ashtray08,18,-1,1,ashtray,a,outdoor,0,ashtray,small
185,86,310,mug07,19,-1,1,mug,a,outdoor,0,mug,small
186,87,659,mug13,13,1,1,mug,a,outdoor,1,mug,small
187,88,358,mug18,8,-1,1,mug,a,outdoor,0,mug,small
188,89,424,mug16,10,-1,1,mug,a,outdoor,0,mug,small
189,90,303,mug04,22,-1,1,mug,a,outdoor,0,mug,small
190,91,299,axe10,16,1,1,axe,a,outdoor,1,axe,small
191,92,429,axe11,15,1,1,axe,a,outdoor,1,axe,small
192,93,390,axe05,21,1,1,axe,a,outdoor,1,axe,small
193,94,472,axe02,24,-1,1,axe,a,outdoor,0,axe,small
194,95,312,axe15,11,1,1,axe,a,outdoor,1,axe,small
195,96,450,package23,3,1,1,package,a,outdoor,1,package,small
196,97,451,package21,5,1,1,package,a,outdoor,1,package,small
197,98,360,package19,7,-1,1,package,a,outdoor,0,package,small
198,99,504,package14,12,1,1,package,a,outdoor,1,package,small
199,100,402,package20,6,-1,1,package,a,outdoor,0,package,small
200,1,374,soap18,8,-1,1,soap,a,indoor,0,soap,small
201,2,879,soap24,2,1,1,soap,a,indoor,1,soap,small
202,3,251,soap03,23,-1,1,soap,a,indoor,0,soap,small
203,4,375,soap09,17,-1,1,soap,a,indoor,0,soap,small
204,5,710,soap05,21,-1,1,soap,a,indoor,0,soap,small
205,6,685,microwave10,16,1,1,microwave,a,indoor,1,microwave,big
206,7,902,microwave21,5,1,1,microwave,a,indoor,1,microwave,big
207,8,772,microwave23,3,1,1,microwave,a,indoor,1,microwave,big
208,9,212,microwave02,24,-1,1,microwave,a,indoor,0,microwave,big
209,10,915,microwave08,18,-1,1,microwave,a,indoor,0,microwave,big
210,11,441,lamp14,12,-1,1,lamp,a,indoor,0,lamp,small
211,12,506,lamp04,22,-1,1,lamp,a,indoor,0,lamp,small
212,13,332,lamp25,1,1,1,lamp,a,indoor,1,lamp,small
213,14,1159,lamp20,6,1,1,lamp,a,indoor,1,lamp,small
214,15,452,lamp15,11,1,1,lamp,a,indoor,1,lamp,small
215,16,1703,firealarm22,4,-1,1,firealarm,a,indoor,0,firealarm,small
216,17,304,firealarm12,14,-1,1,firealarm,a,indoor,0,firealarm,small
217,18,1090,firealarm07,19,-1,1,firealarm,a,indoor,0,firealarm,small
218,19,648,firealarm19,7,-1,1,firealarm,a,indoor,0,firealarm,small
219,20,674,firealarm01,25,-1,1,firealarm,a,indoor,0,firealarm,small
220,21,642,candle11,15,-1,1,candle,a,indoor,0,candle,small
221,22,317,candle17,9,-1,1,candle,a,indoor,0,candle,small
222,23,303,candle06,20,-1,1,candle,a,indoor,0,candle,small
223,24,221,candle16,10,-1,1,candle,a,indoor,0,candle,small
224,25,312,candle13,13,-1,1,candle,a,indoor,0,candle,small
225,26,810,vase25,1,1,1,vase,a,indoor,1,vase,small
226,27,322,vase17,9,-1,1,vase,a,indoor,0,vase,small
227,28,488,vase21,5,1,1,vase,a,indoor,1,vase,small
228,29,285,vase22,4,1,1,vase,a,indoor,1,vase,small
229,30,605,vase04,22,-1,1,vase,a,indoor,0,vase,small
230,31,262,kettle12,14,-1,1,kettle,a,indoor,0,kettle,small
231,32,599,kettle19,7,-1,1,kettle,a,indoor,0,kettle,small
232,33,1209,kettle23,3,-1,1,kettle,a,indoor,0,kettle,small
233,34,414,kettle03,23,-1,1,kettle,a,indoor,0,kettle,small
234,35,688,kettle01,25,-1,1,kettle,a,indoor,0,kettle,small
235,36,286,dvdplayer11,15,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
236,37,792,dvdplayer20,6,1,1,dvdplayer,a,indoor,1,dvdplayer,big
237,38,1042,dvdplayer13,13,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
238,39,188,dvdplayer02,24,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
239,40,1314,dvdplayer05,21,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
240,41,494,mouse14,12,-1,1,mouse,a,indoor,0,mouse,small
241,42,1380,mouse24,2,-1,1,mouse,a,indoor,0,mouse,small
242,43,476,mouse09,17,-1,1,mouse,a,indoor,0,mouse,small
243,44,354,mouse10,16,-1,1,mouse,a,indoor,0,mouse,small
244,45,1367,mouse06,20,-1,1,mouse,a,indoor,0,mouse,small
245,46,724,pottedplant16,10,-1,1,pottedplant,a,indoor,0,pottedplant,small
246,47,428,pottedplant18,8,1,1,pottedplant,a,indoor,1,pottedplant,small
247,48,248,pottedplant07,19,-1,1,pottedplant,a,indoor,0,pottedplant,small
248,49,313,pottedplant15,11,-1,1,pottedplant,a,indoor,0,pottedplant,small
249,50,306,pottedplant08,18,-1,1,pottedplant,a,indoor,0,pottedplant,small
250,51,1284,pitchfork20,6,-1,1,pitchfork,a,outdoor,0,pitchfork,small
251,52,818,pitchfork04,22,1,1,pitchfork,a,outdoor,1,pitchfork,small
252,53,785,pitchfork22,4,1,1,pitchfork,a,outdoor,1,pitchfork,small
253,54,611,pitchfork18,8,-1,1,pitchfork,a,outdoor,0,pitchfork,small
254,55,494,pitchfork09,17,-1,1,pitchfork,a,outdoor,0,pitchfork,small
255,56,471,bird15,11,-1,1,bird,a,outdoor,0,bird,small
256,57,1058,bird19,7,-1,1,bird,a,outdoor,0,bird,small
257,58,436,bird01,25,-1,1,bird,a,outdoor,0,bird,small
258,59,394,bird23,3,-1,1,bird,a,outdoor,0,bird,small
259,60,1554,bird08,18,1,1,bird,a,outdoor,1,bird,small
260,61,1305,mailbox14,12,-1,1,mailbox,a,outdoor,0,mailbox,small
261,62,298,mailbox06,20,-1,1,mailbox,a,outdoor,0,mailbox,small
262,63,602,mailbox11,15,-1,1,mailbox,a,outdoor,0,mailbox,small
263,64,1032,mailbox12,14,-1,1,mailbox,a,outdoor,0,mailbox,small
264,65,904,mailbox21,5,1,1,mailbox,a,outdoor,1,mailbox,small
265,66,579,frog24,2,1,1,frog,a,outdoor,1,frog,small
266,67,288,frog16,10,1,1,frog,a,outdoor,1,frog,small
267,68,1185,frog05,21,-1,1,frog,a,outdoor,0,frog,small
268,69,312,frog25,1,1,1,frog,a,outdoor,1,frog,small
269,70,1962,frog03,23,-1,1,frog,a,outdoor,0,frog,small
270,71,1874,cactus07,19,-1,1,cactus,a,outdoor,0,cactus,big
271,72,864,cactus13,13,1,1,cactus,a,outdoor,1,cactus,big
272,73,501,cactus10,16,1,1,cactus,a,outdoor,1,cactus,big
273,74,482,cactus17,9,-1,1,cactus,a,outdoor,0,cactus,big
274,75,318,cactus02,24,1,1,cactus,a,outdoor,1,cactus,big
275,76,648,bottle22,4,1,1,bottle,a,outdoor,1,bottle,big
276,77,310,bottle24,2,1,1,bottle,a,outdoor,1,bottle,big
277,78,523,bottle03,23,-1,1,bottle,a,outdoor,0,bottle,big
278,79,518,bottle25,1,1,1,bottle,a,outdoor,1,bottle,big
279,80,487,bottle06,20,-1,1,bottle,a,outdoor,0,bottle,big
280,81,292,ashtray17,9,-1,1,ashtray,a,outdoor,0,ashtray,small
281,82,1064,ashtray09,17,-1,1,ashtray,a,outdoor,0,ashtray,small
282,83,388,ashtray01,25,-1,1,ashtray,a,outdoor,0,ashtray,small
283,84,316,ashtray12,14,-1,1,ashtray,a,outdoor,0,ashtray,small
284,85,488,ashtray08,18,-1,1,ashtray,a,outdoor,0,ashtray,small
285,86,1782,mug07,19,1,1,mug,a,outdoor,1,mug,small
286,87,401,mug13,13,-1,1,mug,a,outdoor,0,mug,small
287,88,648,mug18,8,1,1,mug,a,outdoor,1,mug,small
288,89,344,mug16,10,-1,1,mug,a,outdoor,0,mug,small
289,90,464,mug04,22,-1,1,mug,a,outdoor,0,mug,small
290,91,610,axe10,16,-1,1,axe,a,outdoor,0,axe,small
291,92,367,axe11,15,-1,1,axe,a,outdoor,0,axe,small
292,93,412,axe05,21,-1,1,axe,a,outdoor,0,axe,small
293,94,773,axe02,24,1,1,axe,a,outdoor,1,axe,small
294,95,717,axe15,11,1,1,axe,a,outdoor,1,axe,small
295,96,1194,package23,3,1,1,package,a,outdoor,1,package,small
296,97,589,package21,5,1,1,package,a,outdoor,1,package,small
297,98,373,package19,7,1,1,package,a,outdoor,1,package,small
298,99,279,package14,12,-1,1,package,a,outdoor,0,package,small
299,100,539,package20,6,-1,1,package,a,outdoor,0,package,small
300,1,2053,soap18,8,1,1,soap,a,indoor,1,soap,small
301,2,598,soap24,2,1,1,soap,a,indoor,1,soap,small
302,3,817,soap03,23,-1,1,soap,a,indoor,0,soap,small
303,4,1151,soap09,17,1,1,soap,a,indoor,1,soap,small
304,5,978,soap05,21,1,1,soap,a,indoor,1,soap,small
305,6,738,microwave10,16,1,1,microwave,a,indoor,1,microwave,big
306,7,785,microwave21,5,-1,1,microwave,a,indoor,0,microwave,big
307,8,684,microwave23,3,1,1,microwave,a,indoor,1,microwave,big
308,9,299,microwave02,24,1,1,microwave,a,indoor,1,microwave,big
309,10,1450,microwave08,18,-1,1,microwave,a,indoor,0,microwave,big
310,11,474,lamp14,12,1,1,lamp,a,indoor,1,lamp,small
311,12,404,lamp04,22,1,1,lamp,a,indoor,1,lamp,small
312,13,187,lamp25,1,1,1,lamp,a,indoor,1,lamp,small
313,14,257,lamp20,6,1,1,lamp,a,indoor,1,lamp,small
314,15,917,lamp15,11,-1,1,lamp,a,indoor,0,lamp,small
315,16,325,firealarm22,4,1,1,firealarm,a,indoor,1,firealarm,small
316,17,230,firealarm12,14,1,1,firealarm,a,indoor,1,firealarm,small
317,18,552,firealarm07,19,1,1,firealarm,a,indoor,1,firealarm,small
318,19,2770,firealarm19,7,1,1,firealarm,a,indoor,1,firealarm,small
319,20,721,firealarm01,25,-1,1,firealarm,a,indoor,0,firealarm,small
320,21,1140,candle11,15,1,1,candle,a,indoor,1,candle,small
321,22,458,candle17,9,-1,1,candle,a,indoor,0,candle,small
322,23,688,candle06,20,-1,1,candle,a,indoor,0,candle,small
323,24,677,candle16,10,1,1,candle,a,indoor,1,candle,small
324,25,634,candle13,13,1,1,candle,a,indoor,1,candle,small
325,26,518,vase25,1,1,1,vase,a,indoor,1,vase,small
326,27,1033,vase17,9,1,1,vase,a,indoor,1,vase,small
327,28,365,vase21,5,1,1,vase,a,indoor,1,vase,small
328,29,1212,vase22,4,1,1,vase,a,indoor,1,vase,small
329,30,568,vase04,22,1,1,vase,a,indoor,1,vase,small
330,31,432,kettle12,14,1,1,kettle,a,indoor,1,kettle,small
331,32,913,kettle19,7,-1,1,kettle,a,indoor,0,kettle,small
332,33,311,kettle23,3,-1,1,kettle,a,indoor,0,kettle,small
333,34,1034,kettle03,23,1,1,kettle,a,indoor,1,kettle,small
334,35,391,kettle01,25,1,1,kettle,a,indoor,1,kettle,small
335,36,849,dvdplayer11,15,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
336,37,1318,dvdplayer20,6,1,1,dvdplayer,a,indoor,1,dvdplayer,big
337,38,1042,dvdplayer13,13,1,1,dvdplayer,a,indoor,1,dvdplayer,big
338,39,673,dvdplayer02,24,1,1,dvdplayer,a,indoor,1,dvdplayer,big
339,40,1241,dvdplayer05,21,1,1,dvdplayer,a,indoor,1,dvdplayer,big
340,41,225,mouse14,12,-1,1,mouse,a,indoor,0,mouse,small
341,42,458,mouse24,2,1,1,mouse,a,indoor,1,mouse,small
342,43,527,mouse09,17,1,1,mouse,a,indoor,1,mouse,small
343,44,426,mouse10,16,1,1,mouse,a,indoor,1,mouse,small
344,45,190,mouse06,20,-1,1,mouse,a,indoor,0,mouse,small
345,46,1093,pottedplant16,10,1,1,pottedplant,a,indoor,1,pottedplant,small
346,47,549,pottedplant18,8,1,1,pottedplant,a,indoor,1,pottedplant,small
347,48,658,pottedplant07,19,1,1,pottedplant,a,indoor,1,pottedplant,small
348,49,757,pottedplant15,11,1,1,pottedplant,a,indoor,1,pottedplant,small
349,50,742,pottedplant08,18,1,1,pottedplant,a,indoor,1,pottedplant,small
350,51,586,pitchfork20,6,1,1,pitchfork,a,outdoor,1,pitchfork,small
351,52,291,pitchfork04,22,1,1,pitchfork,a,outdoor,1,pitchfork,small
352,53,1208,pitchfork22,4,1,1,pitchfork,a,outdoor,1,pitchfork,small
353,54,179,pitchfork18,8,1,1,pitchfork,a,outdoor,1,pitchfork,small
354,55,237,pitchfork09,17,1,1,pitchfork,a,outdoor,1,pitchfork,small
355,56,1008,bird15,11,1,1,bird,a,outdoor,1,bird,small
356,57,141,bird19,7,1,1,bird,a,outdoor,1,bird,small
357,58,330,bird01,25,-1,1,bird,a,outdoor,0,bird,small
358,59,144,bird23,3,1,1,bird,a,outdoor,1,bird,small
359,60,280,bird08,18,1,1,bird,a,outdoor,1,bird,small
360,61,193,mailbox14,12,-1,1,mailbox,a,outdoor,0,mailbox,small
361,62,1054,mailbox06,20,-1,1,mailbox,a,outdoor,0,mailbox,small
362,63,351,mailbox11,15,-1,1,mailbox,a,outdoor,0,mailbox,small
363,64,235,mailbox12,14,1,1,mailbox,a,outdoor,1,mailbox,small
364,65,237,mailbox21,5,1,1,mailbox,a,outdoor,1,mailbox,small
365,66,1306,frog24,2,1,1,frog,a,outdoor,1,frog,small
366,67,251,frog16,10,-1,1,frog,a,outdoor,0,frog,small
367,68,473,frog05,21,-1,1,frog,a,outdoor,0,frog,small
368,69,385,frog25,1,1,1,frog,a,outdoor,1,frog,small
369,70,1690,frog03,23,1,1,frog,a,outdoor,1,frog,small
370,71,301,cactus07,19,1,1,cactus,a,outdoor,1,cactus,big
371,72,346,cactus13,13,1,1,cactus,a,outdoor,1,cactus,big
372,73,405,cactus10,16,-1,1,cactus,a,outdoor,0,cactus,big
373,74,240,cactus17,9,-1,1,cactus,a,outdoor,0,cactus,big
374,75,564,cactus02,24,1,1,cactus,a,outdoor,1,cactus,big
375,76,383,bottle22,4,1,1,bottle,a,outdoor,1,bottle,big
376,77,515,bottle24,2,1,1,bottle,a,outdoor,1,bottle,big
377,78,484,bottle03,23,1,1,bottle,a,outdoor,1,bottle,big
378,79,264,bottle25,1,1,1,bottle,a,outdoor,1,bottle,big
379,80,1430,bottle06,20,1,1,bottle,a,outdoor,1,bottle,big
380,81,1087,ashtray17,9,1,1,ashtray,a,outdoor,1,ashtray,small
381,82,177,ashtray09,17,-1,1,ashtray,a,outdoor,0,ashtray,small
